FOLIO,CONCESIONARIO,K_GRUPO,GRUPO,ANIO,MES,FECHA,K_EMPRESA,EMPRESA,S_RESIDENCIAL_E,S_NO_RESIDENCIAL_E,S_AMBOS_E,S_NO_ESPECIFICADO_E,S_TOTAL_E
100278,MARIA DEL CARMEN GARCIA ANGELES,G008,MEGACABLE-MCM,2013,9,15-sep-13,C0378,MEGACABLE,12756,52,,,12808
100278,MARIA DEL CARMEN GARCIA ANGELES,G008,MEGACABLE-MCM,2013,10,15-oct-13,C0378,MEGACABLE,12867,55,,,12922
100278,MARIA DEL CARMEN GARCIA ANGELES,G008,MEGACABLE-MCM,2013,11,15-nov-13,C0378,MEGACABLE,12910,55,,,12965
100278,MARIA DEL CARMEN GARCIA ANGELES,G008,MEGACABLE-MCM,2013,12,15DEC2013,C0378,MEGACABLE,12819,53,,,12872
100278,MARIA DEL CARMEN GARCIA ANGELES,G008,MEGACABLE-MCM,2014,1,15JAN2014,C0378,MEGACABLE,12784,53,,,12837
100278,MARIA DEL CARMEN GARCIA ANGELES,G008,MEGACABLE-MCM,2014,2,15-feb-14,C0378,MEGACABLE,12787,53,,,12840
100278,MARIA DEL CARMEN GARCIA ANGELES,G008,MEGACABLE-MCM,2014,3,15-mar-14,C0378,MEGACABLE,12841,54,,,12895
100278,MARIA DEL CARMEN GARCIA ANGELES,G008,MEGACABLE-MCM,2014,4,15APR2014,C0378,MEGACABLE,12929,55,,,12984
100278,MARIA DEL CARMEN GARCIA ANGELES,G008,MEGACABLE-MCM,2014,5,15-may-14,C0378,MEGACABLE,12991,57,,,13048
100278,MARIA DEL CARMEN GARCIA ANGELES,G008,MEGACABLE-MCM,2014,6,15-jun-14,C0378,MEGACABLE,13016,57,,,13073
100278,MARIA DEL CARMEN GARCIA ANGELES,G008,MEGACABLE-MCM,2014,7,15-jul-14,C0378,MEGACABLE,2727,12,,,2739
100278,MARIA DEL CARMEN GARCIA ANGELES,G008,MEGACABLE-MCM,2014,8,15AUG2014,C0378,MEGACABLE,2737,12,,,2749
100278,MARIA DEL CARMEN GARCIA ANGELES,G008,MEGACABLE-MCM,2014,9,15-sep-14,C0378,MEGACABLE,2753,12,,,2765
