FECHA,GRUPO,MARKET_SHARE
15-sep-10,DISH-MVS,0.18403
15-sep-10,ULTRAVISION,0.00552
15-sep-10,MEGACABLE-MCM,0.17202
15-sep-10,MAXCOM,0.0013
15-sep-10,GRUPO TELEVISA,0.45869
15-sep-10,OTROS,0.07574
15-sep-10,AIRECABLE,0.00118
15-sep-10,TV REY,0.00187
15DEC2010,CABLEVISION RED,0.03149
15DEC2010,CABLECOM,0.06586
15DEC2010,GRUPO TELEVISA,0.47532
15DEC2010,MAXCOM,0.00139
15DEC2010,OTROS,0.06903
15DEC2010,AIRECABLE,0.00117
15DEC2010,MEGACABLE-MCM,0.16663
15DEC2010,ULTRAVISION,0.00496
15DEC2010,TV REY,0.00181
15DEC2010,DISH-MVS,0.18236
15-mar-11,AIRECABLE,0.00111
15-mar-11,CABLEVISION RED,0.03057
15-mar-11,ULTRAVISION,0.00448
15-mar-11,MAXCOM,0.00147
15-mar-11,CABLECOM,0.06364
15-mar-11,GRUPO TELEVISA,0.48627
15-mar-11,MEGACABLE-MCM,0.15931
15-mar-11,OTROS,0.06698
15-mar-11,TV REY,0.00173
15-mar-11,DISH-MVS,0.18443
15-jun-11,CABLEVISION RED,0.0303
15-jun-11,CABLECOM,0.06175
15-jun-11,AIRECABLE,0.00109
15-jun-11,MAXCOM,0.00156
15-jun-11,MEGACABLE-MCM,0.15614
15-jun-11,ULTRAVISION,0.00425
15-jun-11,OTROS,0.06283
15-jun-11,TV REY,0.00167
15-jun-11,GRUPO TELEVISA,0.49704
15-jun-11,DISH-MVS,0.18337
15-sep-11,MEGACABLE-MCM,0.15338
15-sep-11,CABLEVISION RED,0.03011
15-sep-11,CABLECOM,0.06024
15-sep-11,AIRECABLE,0.00105
15-sep-11,MAXCOM,0.00164
15-sep-11,ULTRAVISION,0.00395
15-sep-11,GRUPO TELEVISA,0.50363
15-sep-11,OTROS,0.06136
15-sep-11,DISH-MVS,0.18302
15-sep-11,TV REY,0.00161
15DEC2011,ULTRAVISION,0.00366
15DEC2011,CABLEVISION RED,0.03024
15DEC2011,CABLECOM,0.05925
15DEC2011,AIRECABLE,0.00103
15DEC2011,OTROS,0.05927
15DEC2011,MEGACABLE-MCM,0.15288
15DEC2011,MAXCOM,0.00173
15DEC2011,GRUPO TELEVISA,0.50983
15DEC2011,TV REY,0.0016
15DEC2011,DISH-MVS,0.18052
15-mar-12,AIRECABLE,0.00103
15-mar-12,GRUPO TELEVISA,0.51806
15-mar-12,CABLECOM,0.05782
15-mar-12,CABLEVISION RED,0.02974
15-mar-12,MEGACABLE-MCM,0.15103
15-mar-12,MAXCOM,0.00178
15-mar-12,OTROS,0.05696
15-mar-12,ULTRAVISION,0.00336
15-mar-12,TV REY,0.00161
15-mar-12,DISH-MVS,0.1786
15-jun-12,CABLEVISION RED,0.02913
15-jun-12,CABLECOM,0.05608
15-jun-12,AIRECABLE,0.00107
15-jun-12,OTROS,0.05632
15-jun-12,ULTRAVISION,0.00332
15-jun-12,MEGACABLE-MCM,0.14982
15-jun-12,MAXCOM,0.00182
15-jun-12,GRUPO TELEVISA,0.52595
15-jun-12,TV REY,0.00163
15-jun-12,DISH-MVS,0.17487
15-sep-12,MEGACABLE-MCM,0.14631
15-sep-12,GRUPO TELEVISA,0.53647
15-sep-12,CABLECOM,0.05427
15-sep-12,AIRECABLE,0.00107
15-sep-12,CABLEVISION RED,0.02875
15-sep-12,DISH-MVS,0.17102
15-sep-12,OTROS,0.05526
15-sep-12,ULTRAVISION,0.00336
15-sep-12,TV REY,0.00165
15-sep-12,MAXCOM,0.00184
15DEC2012,ULTRAVISION,0.00334
15DEC2012,CABLECOM,0.05327
15DEC2012,CABLEVISION RED,0.02852
15DEC2012,AIRECABLE,0.00107
15DEC2012,OTROS,0.05433
15DEC2012,MEGACABLE-MCM,0.14588
15DEC2012,MAXCOM,0.00185
15DEC2012,GRUPO TELEVISA,0.54443
15DEC2012,TV REY,0.00169
